cbsa,name
12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area"
14460,"Boston-Cambridge-Newton, MA-NH Metro Area"
16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area"
19100,"Dallas-Fort Worth-Arlington, TX Metro Area"
26420,"Houston-Sugar Land-Baytown, TX Metro Area"
31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area"
33100,"Miami-Fort Lauderdale-Miami Beach, FL Metropolitan Statistical Area"
35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area"
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area"
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
